image_name,compression_ratio,compression_factor,mse,psnr,ssim
scan 5 part 1 0000-crop.tif,1.0,1.0,93.61044833176969,18.806184971204914,0.5136976140902402
scan 5 part 1 0100-crop.tif,1.0,1.0,89.85603352577685,21.63604790145112,0.7092457710104489
scan 5 part 1 0200-crop.tif,1.0,1.0,91.91027426736586,21.36267416088834,0.6837524735607812
scan 5 part 1 0300-crop.tif,1.0,1.0,92.34733087109677,21.327932807372136,0.6562834318997325
